	Acartia-tonsa_adults_SR	Amphibalanus-amphitrite_larva_ou	Calanoides-carinatus_active-pop_BL	Calanus-hyperboreus_female_AF	Eucalanus-hyalinus_high-oxygen_CA	Eucyclops-serrulatus__SR	Eurytemora-affinis_adults_fr	Labidocera-madurae_femalesPooled_SR	Lernaea-cyprinacea_hote_SR	Lsalmonis_female_SR	Metridia-longa_female_AU	Nannocalanus-minor__BY	Neocalanus-flemingeri_pooledFemales_SR	Onana_female_in	Osimilis_female_in	Paracyclopina-nana_SRR1664735_Tr	Penaeus-aztecus_10Hepatopancreas_ou	Pleuromamma-robusta__BU	Pseudocalanus-sp_female_BE	Pseudodiaptomus-annandalei_1ind_SR	Tigriopus-japonicus_SRR1784985_Tr	Tigripus-kingsejongensis_SRR2034718_Tr	Tracheliastes-polycolpus_female_le
PF00076.23	1425	3524	3151	2897	2164	5570	2878	2928	2761	1527	3273	1919	2577	1700	1626	2744	2242	3098	1921	4051	2073	1476	1364
PF01738.19	83	73	129	66	58	130	56	161	43	72	135	48	43	29	31	21	59	72	30	33	19	14	6
PF07716.16	216	770	593	498	305	1401	337	492	1240	272	390	117	289	444	492	867	1015	199	471	845	361	437	381
PF10345.10	3	34	19	12	1	18	2	14	12	12	22	6	2	26	2	2	6	2	1	3	27	21	1
PF17874.2	188	79	120	85	192	345	292	312	155	170	112	68	189	159	104	160	165	221	40	454	96	147	131
PF13424.7	850	1920	1418	931	1541	2933	1670	1501	912	651	1205	705	839	982	1197	2014	853	1289	1376	1548	1745	839	1161
PF13428.7	1149	3542	1348	1695	1617	2875	1444	1761	1719	662	1504	707	985	1279	1328	2300	1079	1809	2009	2721	1658	1336	1509
PF07719.18	1103	3175	2399	1935	1675	3250	2614	2280	2013	838	1841	749	1835	2062	1783	3330	1671	1778	2268	3104	2418	960	1411
PF13181.7	1169	1615	1143	1394	733	2759	1721	1561	1972	1443	1761	621	883	1301	1216	3903	862	1242	743	1735	1455	776	868
PF10996.9	20	29	19	31	9	39	9	11	19	7	8	4	12	14	8	20	9	7	9	41	6	4	5
